Position,Height,Number,Name,Hometown,School,Roster,Team,Class Year
FORWARD,"6'0""",4,BETSY JACOBSON,"ROCHESTER, NY ",OUR LADY OF MERCY,2009-10, Women's Basketball,JR
GUARD,"5'10""",12,SADIEA WILLIAMS,"LUNENBURG, MA ",LUNENBURG,2009-10, Women's Basketball,RS
GUARD,"5'7""",14,CHRISTINA JOHNSON,"OAKLAND, CA ",ST. MARY'S,2009-10, Women's Basketball,RS
GUARD,"5'8""",15,COURTNEY LEE,"ARCHER, FL ",OAK HALL,2009-10, Women's Basketball,RS
GUARD/FORWARD,"6'1""",21,ALYSSA BLOOD,ENGLAND,THE AMERICAN SCHOOL,2009-10, Women's Basketball,JR
GUARD/FORWARD,"6'0""",32,SARAH DELK,"ATLANTA, GA ",WESLEYAN SCHOOL,2009-10, Women's Basketball,RS
FORWARD/GUARD,"6'1""",42,TAYLOR MASASCHI,"CHATHAM, MA ",CHATHAM,2009-10, Women's Basketball,RS
GUARD,"5'6""",22,LAURA KOBASHIGAWA,"PLAYA DEL REY, CA ",BRENTWOOD,2010-11, Women's Basketball ,FR
GUARD,"5'10""",25,LINDSAY STEELE,"ERIAL, NJ ",TIMBER CREEK,2010-11, Women's Basketball ,JR
GUARD,"5'8""",11,JACQUELINE SCHONINGER,"NEW YORK, NY ",FIELDSTON SCHOOL,2011-12, Women's Basketball ,SO
FORWARD,"6'2""",13,MADDY PAGE,"IRVINE, CA ",WOODBRIDGE,2012-13, Women's Basketball ,SO
GUARD/FORWARD,"5'11""",21,MAGGIE SMITH,"LILBURN, GA ",PARKVIEW HIGH SCHOOL,2012-13, Women's Basketball ,JR
FORWARD,"5'10""",2,SAVANNAH JOHNSON,"FORT WASHINGTON, MD ",ELIZABETH SETON,2014-15, Women's Basketball ,FR
GUARD,"5'7""",5,KJ VELDMAN,"SPIRIT LAKE, IA ",SPIRIT LAKE,2014-15, Women's Basketball ,SO
GUARD,"5'10""",11,EMILY DINGER,"SUNNYVALE, CA ",ARCHBISHOP MITTY,2014-15, Women's Basketball ,SO
FORWARD,"6'2""",30,MAXINE OFFIAELI,"SOUTH WINDSOR, CT ",LOOMIS CHAFFEE,2014-15, Women's Basketball ,FR
GUARD,"5'9""",12,REBECCA MUSGROVE,"PLAINVIEW, N.Y.", ST. ANTHONY'S,2015-16, Women's Basketball ,JR
FORWARD,"6'0""",32,KENNEDY MARTIN,"LOS ANGELES, CALIF.", BRENTWOOD SCHOOL,2015-16, Women's Basketball ,SO
GUARD,"5'8""",33,ABBY O'KEEFE,"ST. LOUIS, MO.",WORCESTER,2016-17, Women's Basketball ,FR
FORWARD,"6'2""",23,MELISSA HEATH,HO-HO-,"KUS, N.J. NORTHERN HIGHLANDS REGIONAL",2017-18, Women's Basketball ,JR
FORWARD,"6'2""",25,KATHLEEN RYAN,"CLARENCE CENTER, N.Y.", BUFFALO ACADEMY OF THE SACRED HEART,2017-18, Women's Basketball ,SO
CENTER,"6'5""",34,JENNA BENZINGER,"WILLIAMSTOWN, MASS.", MT. GREYLOCK REGIONAL,2017-18, Women's Basketball ,FR
CENTER,"6'2""",40,LAMES ELGAMMAL,"BALDWIN, N.Y.", BALDWIN,2017-18, Women's Basketball ,SO
GUARD,"5'8""",2,NINA MEHTA,"SAN FRANCISCO, CALIF.", INTERNATIONAL,2018-19, Women's Basketball,FR
FORWARD,"6'0""",5,MORGAN CLAUSEN,"ALGONQUIN, ILL.", HUNTLEY,2018-19, Women's Basketball,SO
FORWARD,"6'0""",11,SAVANNAH LEWIS,"WESTLAKE VILLAGE, CALIF.", SIERRA CANYON,2018-19, Women's Basketball,SO
GUARD,"5'5""",22,RANDI RICHARDSON,"FLINT, MICH.", CARMAN-AINSWORTH,2018-19, Women's Basketball,JR
